libfakekey-0.3_1: 9.8KB
libXfontcache-1.0.5_2: 10KB
libxshmfence-1.3_2: 11KB
perl-Canary-Stability-2013_3: 11KB
clipmenu-6.2.0_1: 13KB
libaio-0.3.112_1: 13KB
clipnotify-1.0.2_1: 14KB
libboost_system1.80-1.80.0_6: 14KB
libwoff2common1.0.2-1.0.2_1: 14KB
libXcomposite-0.4.6_1: 14KB
libXinerama-1.1.5_1: 14KB
libXpresent-1.0.1_1: 14KB
libXres-1.2.1_1: 14KB
libXScrnSaver-1.2.4_1: 14KB
libXxf86misc-1.0.4_1: 14KB
lolcat-c-1.2_1: 14KB
libXau-1.0.11_1: 15KB
libXdamage-1.1.6_1: 15KB
perl-Digest-HMAC-1.04_1: 15KB
xcb-util-keysyms-0.4.0_4: 15KB
xtrlock-3.4_2: 15KB
font-alias-1.0.4_2: 16KB
perl-common-sense-3.75_3: 16KB
st-terminfo-0.9_1: 16KB
unclutter-8_5: 16KB
xrefresh-1.0.6_1: 16KB
libgbm-devel-22.2.4_2: 17KB
libssp-12.2.0_1: 17KB
vsv-1.3.5_1: 17KB
libboost_atomic1.80-1.80.0_6: 18KB
libsonic-0.2.0_1: 18KB
npth-1.6_1: 18KB
pass-otp-1.2.0_2: 18KB
python3-notify2-0.3.1_5: 18KB
xlsatoms-1.1.3_2: 18KB
libxdg-basedir-1.2.0_4: 19KB
python3-lsp-jsonrpc-1.0.0_3: 19KB
xcb-util-image-0.4.0_3: 19KB
xkill-1.0.6_1: 19KB
sessreg-1.1.2_1: 20KB
slock-1.5_1: 20KB
xgamma-1.0.7_1: 20KB
xvinfo-1.1.4_2: 20KB
libXinerama-devel-1.1.5_1: 21KB
libasyncns-0.8_9: 22KB
libXv-1.0.12_1: 22KB
libXxf86vm-1.1.5_1: 22KB
pcaudiolib-1.2_1: 22KB
python3-decorator-5.1.1_2: 22KB
qt5-x11extras-5.15.7+20221119_1: 22KB
xbacklight-1.2.3_1: 22KB
xfce-polkit-0.3_1: 22KB
i3lock-fancy-0.2_2: 23KB
libraqm-0.7.0_1: 23KB
perl-AnyEvent-I3-0.17_3: 23KB
xcb-util-xrm-1.3_1: 23KB
xlsclients-1.1.5_1: 23KB
perl-File-Which-1.27_1: 24KB
perl-Types-Serialiser-1.01_1: 24KB
