Package               Version
--------------------- -----------
anyio                 3.6.2
apparmor              3.1.2
appdirs               1.4.4
arandr                0.1.10
argcomplete           2.0.0
aria2p                0.11.3
asciimatics           1.14.0
asciinema             2.2.0
astroid               2.5
async-timeout         4.0.2
attrs                 22.1.0
auditok               0.1.5
beautifulsoup4        4.11.1
bibtexparser          1.4.0
blessed               1.19.1
Brotli                1.0.9
bs4                   0.0.1
casttube              0.2.1
certifi               2022.9.24
cffi                  1.15.1
chardet               3.0.4
charset-normalizer    2.1.1
chatGPT               0.3.6
colorama              0.4.5
coloredlogs           15.0.1
commonmark            0.9.1
crossref-commons      0.0.7
cryptography          38.0.4
cssselect             1.2.0
dbus-python           1.3.2
decorator             5.1.1
defusedxml            0.7.1
deprecation           2.1.0
dill                  0.3.6
distro                1.8.0
docopt                0.6.2
docstring-to-markdown 0.11
dtrx                  8.5.0
epc                   0.0.5
evdev                 1.6.0
ffmpeg-python         0.2.0
ffsubsync             0.4.22
filelock              3.9.0
future                0.18.2
Glances               3.3.0.4
gnupg                 2.3.1
googletrans           3.1.0a0
gpg                   1.10.0
greenlet              2.0.1
gufw                  22.4.0
h11                   0.9.0
h2                    3.2.0
habanero              1.2.2
hpack                 3.0.0
hstspreload           2023.1.1
HTMLParser            0.0.2
httpcore              0.9.1
httpx                 0.13.3
humanfriendly         10.0
hyperframe            5.2.0
idna                  2.10
ifaddr                0.2.0
img2pdf               0.4.4
inquirer              3.1.1
isort                 5.11.4
jedi                  0.18.2
Jinja2                3.1.2
lazy-object-proxy     1.8.0
LibAppArmor           3.1.2
libvirt-python        8.10.0
loguru                0.6.0
lxml                  4.9.2
MarkupSafe            2.1.1
mccabe                0.6.1
meson                 1.0.0
mutagen               1.46.0
notify2               0.3.1
numpy                 1.24.1
packaging             22.0
pandas                1.5.2
parso                 0.8.3
pdfminer.six          20221105
pikepdf               6.2.7
Pillow                9.4.0
pip                   22.3.1
pip-autoremove        0.10.0
platformdirs          2.6.2
playwright            1.29.0
pluggy                1.0.0
protobuf              4.21.12
psutil                5.9.4
pycairo               1.23.0
pyChainedProxy        1.2
pycparser             2.21
pycryptodomex         3.16.0
pyee                  9.0.4
pyfiglet              0.8.post1
Pygments              2.14.0
PyGObject             3.42.2
pylint                2.7.1
PyMuPDF               1.21.1
PyOrgMode             0.1
PyPaperBot            1.2.2
pyparsing             3.0.9
PyPDF2                3.0.1
pyperclip             1.8.2
PyQt5                 5.15.7
PyQt5-sip             12.11.0
PyQtWebEngine         5.15.6
PySocks               1.7.1
pysubs2               1.6.0
pyte                  0.8.1
python-dateutil       2.8.2
python-editor         1.0.4
python-lsp-jsonrpc    1.0.0
python-lsp-server     1.7.0
python-magic          0.4.27
python-telegram       0.15.0
python-xlib           0.33
pythondialog          3.5.3
pytz                  2022.7
pywal                 3.3.0
pywalfox              2.7.4
PyYAML                6.0
qutebrowser           2.5.2
ranger-fm             1.9.3
ratelimit             2.2.1
readability-lxml      0.8.1
readchar              4.0.3
regex                 2022.10.31
reportlab             3.6.12
requests              2.28.1
requests-file         1.5.1
rfc3986               1.5.0
rich                  13.0.0
ruamel.appconfig      0.5.5
ruamel.std.argparse   0.8.3
setuptools            65.5.1
sexpdata              0.0.3
sioyek                0.31.8
six                   1.16.0
sniffio               1.3.0
sortedcontainers      2.4.0
soupsieve             2.3.2.post1
SpeechRecognition     3.9.0
speedtest-cli         2.1.3
srt                   3.5.2
tg                    0.19.0
thefuck               3.32
tls-client            0.1.6
toml                  0.10.2
tomlkit               0.11.6
torbrowser-launcher   0.3.6
tqdm                  4.64.1
trash-cli             0.22.10.20
tuxipy                0.0.4
typing_extensions     4.4.0
ueberzug              18.1.9
ufw                   0.36.1
ujson                 5.6.0
urllib3               1.26.13
urlscan               0.9.10
urwid                 2.1.2
wcwidth               0.2.5
webrtcvad             2.0.10
websocket-client      1.4.2
websockets            10.4
wrapt                 1.12.1
xmltodict             0.13.0
yaml-1.3              0.1.0
youtube-dl            2021.12.17
yq                    3.1.0
yt-dlp                2023.1.6
zeroconf              0.47.1
zstandard             0.19.0
